[ 2017-12-13T10:04:55+08:00 ] /t/ | INFO: Tag[ app_begin ] --START--
[ 2017-12-13T10:04:55+08:00 ] /t/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000678s ]
[ 2017-12-13T10:04:55+08:00 ] /t/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000754s ]
[ 2017-12-13T10:13:08+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-12-13T10:13:08+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000684s ]
[ 2017-12-13T10:13:08+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000744s ]
[ 2017-12-13T10:13:34+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-12-13T10:13:34+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000771s ]
[ 2017-12-13T10:13:34+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000881s ]
[ 2017-12-13T10:21:45+08:00 ] / | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2017-12-13T10:21:45+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-12-13T10:21:45+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000962s ]
[ 2017-12-13T10:21:45+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001050s ]
[ 2017-12-13T10:21:45+08:00 ] / | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: NO) DbMysql.class.php 第 67 行.
[ 2017-12-13T10:21:45+08:00 ] / | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2017-12-13T10:21:45+08:00 ] / | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2017-12-13T10:21:45+08:00 ] / | NOTIC: [8] Undefined index:  args ThinkException.class.php 第 80 行.
[ 2017-12-13T10:21:45+08:00 ] / | NOTIC: [2] implode() [<a href='function.implode'>function.implode</a>]: Invalid arguments passed ThinkException.class.php 第 80 行.
[ 2017-12-13T10:21:45+08:00 ] / | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-12-13T10:21:45+08:00 ] / | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2017-12-13T10:21:45+08:00 ] / | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2017-12-13T10:21:45+08:00 ] / | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2017-12-13T10:21:45+08:00 ] / | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2017-12-13T10:22:34+08:00 ] / | ERR: (ThinkException) 模板不存在[D:\phpStudy\WWW\jinfuPC1.3/App/Tpl/Home/default/Index/indexqx.html]
[ 2017-12-13T10:22:23+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-12-13T10:22:23+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000351s ]
[ 2017-12-13T10:22:23+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000402s ]
[ 2017-12-13T10:22:23+08:00 ] / | SQL: SHOW COLUMNS FROM `lzh_redlog` [ RunTime:0.010939s ]
[ 2017-12-13T10:22:23+08:00 ] / | NOTIC: [8] Undefined variable: uid IndexAction.class.php 第 354 行.
[ 2017-12-13T10:22:23+08:00 ] / | SQL: SELECT * FROM `lzh_redlog` WHERE uid= and red_type=9 LIMIT 1   [ RunTime:0.010538s ]
[ 2017-12-13T10:22:23+08:00 ] / | NOTIC: [8] Undefined variable: uid IndexAction.class.php 第 357 行.
[ 2017-12-13T10:22:23+08:00 ] / | SQL: SHOW COLUMNS FROM `lzh_advertisement` [ RunTime:0.010766s ]
[ 2017-12-13T10:22:23+08:00 ] / | SQL: SELECT `image`,`href`,`order_sx`,`id` FROM `lzh_advertisement` WHERE is_show=1 and flog=2 ORDER BY order_sx asc  [ RunTime:0.007791s ]
[ 2017-12-13T10:22:34+08:00 ] / | SQL: SHOW COLUMNS FROM `lzh_article` [ RunTime:0.009012s ]
[ 2017-12-13T10:22:34+08:00 ] / | SQL: SELECT * FROM `lzh_article` WHERE type_id=9 and art_indexradio=1 ORDER BY id desc LIMIT 3   [ RunTime:0.018328s ]
[ 2017-12-13T10:22:34+08:00 ] / | SQL: SELECT * FROM `lzh_article` WHERE type_id=30 and art_indexradio=1 ORDER BY id desc LIMIT 3   [ RunTime:0.017294s ]
[ 2017-12-13T10:22:34+08:00 ] / | SQL: SELECT * FROM `lzh_article` WHERE type_id=34 and art_indexradio=1 ORDER BY id desc LIMIT 3   [ RunTime:0.018535s ]
[ 2017-12-13T10:22:34+08:00 ] / | SQL: SELECT * FROM `lzh_article` WHERE type_id=9 ORDER BY id desc LIMIT 1   [ RunTime:0.009506s ]
[ 2017-12-13T10:22:34+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-12-13T10:22:34+08:00 ] / | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2017-12-13T10:22:34+08:00 ] / | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2017-12-13T10:22:34+08:00 ] / | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2017-12-13T10:22:34+08:00 ] / | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2017-12-13T10:22:34+08:00 ] / | NOTIC: [8] Undefined index:  args ThinkException.class.php 第 80 行.
[ 2017-12-13T10:22:34+08:00 ] / | NOTIC: [2] implode() [<a href='function.implode'>function.implode</a>]: Invalid arguments passed ThinkException.class.php 第 80 行.
[ 2017-12-13T10:22:34+08:00 ] / | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2017-12-13T10:22:34+08:00 ] / | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2017-12-13T10:22:34+08:00 ] / | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2017-12-13T10:22:34+08:00 ] / | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2017-12-13T10:22:34+08:00 ] / | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2017-12-13T10:23:38+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-12-13T10:23:38+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000411s ]
[ 2017-12-13T10:23:38+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000472s ]
[ 2017-12-13T10:23:38+08:00 ] / | SQL: SHOW COLUMNS FROM `lzh_redlog` [ RunTime:0.008065s ]
[ 2017-12-13T10:23:38+08:00 ] / | NOTIC: [8] Undefined variable: uid IndexAction.class.php 第 354 行.
[ 2017-12-13T10:23:38+08:00 ] / | SQL: SELECT * FROM `lzh_redlog` WHERE uid= and red_type=9 LIMIT 1   [ RunTime:0.011885s ]
[ 2017-12-13T10:23:38+08:00 ] / | NOTIC: [8] Undefined variable: uid IndexAction.class.php 第 357 行.
[ 2017-12-13T10:23:38+08:00 ] / | SQL: SHOW COLUMNS FROM `lzh_advertisement` [ RunTime:0.008674s ]
[ 2017-12-13T10:23:38+08:00 ] / | SQL: SELECT `image`,`href`,`order_sx`,`id` FROM `lzh_advertisement` WHERE is_show=1 and flog=2 ORDER BY order_sx asc  [ RunTime:0.011219s ]
[ 2017-12-13T10:23:48+08:00 ] / | SQL: SHOW COLUMNS FROM `lzh_article` [ RunTime:0.009275s ]
[ 2017-12-13T10:23:48+08:00 ] / | SQL: SELECT * FROM `lzh_article` WHERE type_id=9 and art_indexradio=1 ORDER BY id desc LIMIT 3   [ RunTime:0.239808s ]
[ 2017-12-13T10:23:48+08:00 ] / | SQL: SELECT * FROM `lzh_article` WHERE type_id=30 and art_indexradio=1 ORDER BY id desc LIMIT 3   [ RunTime:0.057247s ]
[ 2017-12-13T10:23:49+08:00 ] / | SQL: SELECT * FROM `lzh_article` WHERE type_id=34 and art_indexradio=1 ORDER BY id desc LIMIT 3   [ RunTime:0.727946s ]
